Team,Division,Game,Date,Home,Away,Home Goals,Away Goals,home,shootout,home_diff,h_goals,v_goals,hg_adj,vg_adj,hdiff_adj,hpts,hpts_adj,adj_effect,n_ringer_goals
OHC 2,7A,392059*,19539,OHC 2,Bandits 2,6,6,1,0,0,6,6,1,4,-3,1,0,TRUE,10
Hooligans,6A,387361*,19532,Hooligans,SJ Sofa Kings,7,5,1,0,2,7,5,2,5,-3,2,0,TRUE,8
Bandits 2,7A,392586*,19555,Bandits 2,Hectors Pool Service,8,5,1,0,3,8,5,3,5,-2,2,0,TRUE,7
CineLux Theatres,7A,389355*,19561,CineLux Theatres,Rebel Scum 1,5,4,1,1,1,4,4,1,4,-3,1,0,TRUE,6
Hooligans,6A,386226*,19527,Hooligans,Team America,7,4,1,0,3,7,4,3,4,-1,2,0,TRUE,5
3rd Line Scrubs,7B East,392061*,19539,3rd Line Scrubs,Team Beer,4,1,1,0,3,4,1,0,1,-1,2,0,TRUE,5
EDWS,5B,389548*,19582,EDWS,Norcal Crossover Batalion,6,4,1,0,2,6,4,3,4,-1,2,0,TRUE,4
Purple Cobras,6B,387446*,19512,Purple Cobras,Royals 2,7,6,1,1,1,6,6,4,6,-2,1,0,TRUE,4
OHC 2,7A,389046*,19553,OHC 2,Beaver Dragons,4,5,1,1,-1,4,4,2,4,-2,1,0,TRUE,4
Fighting Icecocks 2,7B West,382928*,19499,Fighting Icecocks 2,Red Hawks,4,3,1,1,1,3,3,1,3,-2,1,0,TRUE,4
Taquieria Con Carne,5B,388604*,19547,Taquieria Con Carne,EDWS,3,6,1,0,-3,3,6,3,3,0,0,1,TRUE,3
Pacific Predators,6B,389982*,19576,Pacific Predators,Leftovers,4,3,1,0,1,4,3,2,3,-1,2,0,TRUE,3
Red Dragons,7A,386292*,19534,Red Dragons,Hectors Pool Service,4,3,1,0,1,4,3,2,3,-1,2,0,TRUE,3
Red Dragons,7A,388663*,19548,Red Dragons,OHC 2,2,5,1,0,-3,2,5,2,2,0,0,1,TRUE,3
BK 10,8B,382989*,19506,BK 10,Habs,6,3,1,0,3,6,3,3,3,0,2,1,TRUE,3
Norcal Crossover Batalion,5B,392658*,19539,Norcal Crossover Batalion,EDWS,4,6,1,0,-2,4,6,4,2,2,0,2,TRUE,2
The Fruit Company,6A,392079*,19539,The Fruit Company,Hooligans,2,4,1,0,-2,2,4,2,2,0,0,1,TRUE,2
Irish Car Bombs 2,6A,387558*,19511,Irish Car Bombs 2,Cereal Killers,3,5,1,0,-2,3,5,3,3,0,0,1,TRUE,2
Blade Runners,6B,387559*,19511,Blade Runners,Seal Team Sticks,1,3,1,0,-2,1,3,1,0,1,0,2,TRUE,2
Royals 2,6B,389289*,19554,Royals 2,Raccoons,5,3,1,0,2,5,3,3,3,0,2,1,TRUE,2
Royals 3,7A,389793*,19555,Royals 3,Red Dragons,6,6,1,0,0,6,6,5,4,1,1,2,TRUE,2
Gang Green,7A,386032*,19526,Gang Green,Royals 3,2,3,1,1,-1,2,2,1,2,-1,1,0,TRUE,2
Gang Green,7A,392063*,19539,Gang Green,Red Dragons,4,5,1,1,-1,4,4,3,2,1,1,2,TRUE,2
Gang Green,7A,389284*,19554,Gang Green,Irish Car Bombs 3,3,2,1,1,1,2,2,1,2,-1,1,0,TRUE,2
Red Hawks,7B West,387456*,19512,Red Hawks,Avengers,6,5,1,1,1,5,5,4,5,-1,1,0,TRUE,2
Irish Car Bombs 4,8A,386101*,19533,Irish Car Bombs 4,Ice Badgers,4,3,1,1,1,3,3,2,3,-1,1,0,TRUE,2
Cant Skate Wont Skate,8A,385154*,19504,Cant Skate Wont Skate,Thresher Sharks 2,3,3,1,0,0,3,3,2,3,-1,1,0,TRUE,2
Mermen Too,5A,387755*,19532,Mermen Too,Nuggets,5,6,1,0,-1,5,6,5,4,1,0,2,TRUE,1
Nuggets,5A,392313*,19574,Nuggets,Royals 1,3,4,1,0,-1,3,4,3,3,0,0,1,TRUE,1
Hooligans,6A,387295*,19525,Hooligans,Bandits 1,2,1,1,0,1,2,1,1,1,0,2,1,TRUE,1
Hooligans,6A,388616*,19547,Hooligans,Rogue Squadron,4,3,1,0,1,4,3,3,3,0,2,1,TRUE,1
Thresher Sharks,6B,389416*,19568,Thresher Sharks,Pacific Predators,4,5,1,0,-1,4,5,4,4,0,0,1,TRUE,1
Leftovers,6B,389855*,19562,Leftovers,Seal Team Sticks,3,4,1,0,-1,3,4,3,1,2,0,2,TRUE,1
Purple Cobras,6B,387752*,19532,Purple Cobras,Seal Team Sticks,2,1,1,0,1,2,1,1,1,0,2,1,TRUE,1
Cant Score Wont Score,7A,392400*,19581,Cant Score Wont Score,Bandits 2,4,5,1,0,-1,4,5,4,2,2,0,2,TRUE,1
Flying Pandas,7B West,390319*,19556,Flying Pandas,Seal Team Sticks 2,3,4,1,0,-1,3,4,3,3,0,0,1,TRUE,1
Unhealthy Scratch,8B,389792*,19555,Unhealthy Scratch,Rebels,4,5,1,0,-1,4,5,4,4,0,0,1,TRUE,1
Rebels,8B,390496*,19577,Rebels,Cobra Kai 2,3,2,1,0,1,3,2,2,2,0,2,1,TRUE,1
Blackhawks,5A,385157*,19504,Blackhawks,Nuggets,6,5,1,1,1,5,5,5,4,1,1,2,TRUE,0
Time Lords,5B,385562*,19515,Time Lords,EDWS,6,7,1,1,-1,6,6,6,3,3,1,2,TRUE,0
Irish Car Bombs 2,6A,389308*,19554,Irish Car Bombs 2,Cereal Killers,5,4,1,1,1,4,4,4,2,2,1,2,TRUE,0
Irish Car Bombs 3,7A,389374*,19561,Irish Car Bombs 3,Royals 3,3,3,1,0,0,3,3,3,2,1,1,2,TRUE,0
Cant Score Wont Score,7A,386220*,19527,Cant Score Wont Score,Bandits 2,2,3,1,1,-1,2,2,2,0,2,1,2,TRUE,0
Ravens,7B West,389539*,19582,Ravens,Whiskey Richards,6,7,1,1,-1,6,6,6,4,2,1,2,TRUE,0
Stiflers Mom 1,8A,386288*,19534,Stiflers Mom 1,Cant Skate Wont Skate,4,4,1,0,0,4,4,4,3,1,1,2,TRUE,0
Chiefs 4,8B,385486*,19501,Chiefs 4,Rebels,3,4,1,1,-1,3,3,3,1,2,1,2,TRUE,0
Rebel Scum 3,8B,389227*,19540,Rebel Scum 3,BK 10,2,3,1,1,-1,2,2,2,0,2,1,2,TRUE,0
